trade_id,entry_time,entry_price,entry_regime,exit_time,exit_price,exit_regime,exit_reason,size,side,pnl,pnl_percent,fees_paid,duration_hours,is_winner,mfe,mae
BT_0000,2025-07-07T17:00:00,108051.09314999999,trend,2025-07-08T01:00:00,107597.32497,chaos,strategy_exit,227.50000000000037,long,-1.296652281832414,-0.5699570469593019,0.34125000000000055,8.0,False,473.90685000001395,537.893149999989
BT_0001,2025-07-08T12:00:00,109058.13918999999,trend,2025-07-08T14:00:00,108267.624,chaos,strategy_exit,226.91002321176757,long,-1.9851374602818899,-0.8748566644097635,0.34036503481765135,2.0,False,158.42081000001053,808.1391899999871
BT_0002,2025-07-09T19:00:00,111861.74999999999,trend,2025-07-09T20:00:00,110521.8675,chaos,stop_loss,226.0067856673407,long,-3.0461244244065053,-1.3478021978021912,0.33901017850101106,1.0,False,90.5800000000163,1302.3499999999913
BT_0003,2025-07-10T17:00:00,113836.54281999999,trend,2025-07-11T13:00:00,117871.19081999999,chaos,strategy_exit,224.6207990542369,long,7.624184232476489,3.3942467770473717,0.33693119858135534,20.0,True,5033.437180000008,850.9028199999884
BT_0004,2025-07-13T19:00:00,119080.04108,trend,2025-07-14T11:00:00,121345.77276,no_trade,strategy_exit,228.0898028800118,long,3.9977218122142024,1.7526964212061822,0.3421347043200177,16.0,True,4137.958920000005,836.3610800000024
BT_0005,2025-07-15T03:00:00,117265.61846999999,trend,2025-07-15T14:00:00,115820.64979289666,chaos,stop_loss,222.92017205727342,long,-3.081243919574645,-1.3822185274390517,0.33438025808591015,11.0,False,1225.0915300000197,1528.6984699999884
BT_0006,2025-07-18T20:00:00,117522.40499999998,trend,2025-07-19T03:00:00,118204.21746,no_trade,strategy_exit,228.50680032116307,long,0.982934109924042,0.43015529889812554,0.3427602004817446,7.0,True,849.015000000014,154.39499999998952
BT_0007,2025-07-23T09:00:00,118158.04,trend,2025-07-23T13:00:00,117264.05856,no_trade,strategy_exit,228.9540353411784,long,-2.0756928458454587,-0.9065980613760932,0.34343105301176763,4.0,False,496.9600000000064,828.0399999999936
BT_0008,2025-07-25T03:00:00,115535.07965999999,trend,2025-07-25T14:00:00,114845.04999,chaos,strategy_exit,228.00959509632003,long,-1.7037946080054778,-0.7472468898888792,0.34201439264448,11.0,False,1247.0503400000161,811.919659999985
BT_0009,2025-07-27T17:00:00,119315.88668999998,trend,2025-07-28T04:00:00,119098.83195,range,strategy_exit,227.23436854967719,long,-0.7542273249273188,-0.3319160432205625,0.3408515528245158,11.0,False,484.1133100000152,602.1466899999796
BT_0010,2025-07-31T04:00:00,118630.04152999999,trend,2025-07-31T14:00:00,117795.26681999999,no_trade,strategy_exit,226.89119511683322,long,-1.9369225239321155,-0.8536790169114914,0.34033679267524986,10.0,False,292.4084700000094,822.6915299999819
BT_0011,2025-07-31T22:00:00,116126.6106,trend,2025-08-01T00:00:00,114735.64350600001,trend,stop_loss,226.00989536844412,long,-3.0461663370263223,-1.3478021978021912,0.33901484305266616,2.0,False,236.37940000000526,1813.4805999999953
BT_0012,2025-08-01T01:00:00,115447.19185999999,trend,2025-08-01T08:00:00,114064.3628586,no_trade,stop_loss,224.62388968509785,long,-3.027485721964522,-1.3478021978021928,0.3369358345276468,7.0,False,604.8081400000083,1331.1918599999917
BT_0013,2025-08-04T00:00:00,115014.76986999999,trend,2025-08-04T07:00:00,114538.31703,range,strategy_exit,223.2463836816039,long,-1.259675786455584,-0.5642536132868095,0.33486957552240587,7.0,False,0.0,866.1898699999874
BT_0014,2025-08-07T04:00:00,114463.92958,trend,2025-08-07T22:00:00,117436.67577,chaos,strategy_exit,222.6732311987651,long,5.449043400543627,2.4471030357841443,0.33400984679814766,18.0,True,3157.0704200000037,185.90957999999227
BT_0015,2025-08-09T19:00:00,116652.22568999999,trend,2025-08-10T07:00:00,117690.4917,no_trade,strategy_exit,225.15254594601427,long,1.66624696583749,0.7400524648018028,0.3377288189190214,12.0,True,2089.544310000012,292.3356899999926
BT_0016,2025-08-11T02:00:00,121997.87599999999,trend,2025-08-11T10:00:00,121063.65516,no_trade,strategy_exit,225.91068831547096,long,-2.0688180605155324,-0.9157681187826536,0.33886603247320646,8.0,False,337.2840000000142,1043.7459999999846
BT_0017,2025-08-14T00:00:00,123971.67782999999,trend,2025-08-14T05:00:00,122486.7423483,chaos,stop_loss,224.96937609793588,long,-3.0321421954298433,-1.347802197802185,0.3374540641469038,5.0,False,0.0,1891.677829999986
BT_0018,2025-08-14T10:00:00,121053.93299999999,trend,2025-08-14T12:00:00,119603.94632999999,trend,stop_loss,223.58975139901455,long,-3.013547583416386,-1.3478021978021968,0.33538462709852185,2.0,False,129.12700000000768,3421.93299999999
BT_0019,2025-08-14T13:00:00,118547.27884999999,trend,2025-08-15T07:00:00,118837.49355,no_trade,strategy_exit,191.6239084853504,long,0.18167718358890045,0.09480924641655017,0.2874358627280256,18.0,True,814.1711500000092,1367.2788499999879
BT_0020,2025-08-15T15:00:00,117392.49521999998,trend,2025-08-16T03:00:00,117312.20037,no_trade,strategy_exit,222.30125036709438,long,-0.4855028692669082,-0.2183986227990977,0.3334518755506416,12.0,False,506.49478000002273,588.5052199999773
BT_0021,2025-08-18T01:00:00,116385.80953999999,trend,2025-08-18T03:00:00,114991.7377554,trend,stop_loss,222.08034656157682,long,-2.993203791843651,-1.3478021978021892,0.33312051984236524,2.0,False,0.0,1385.8095399999875
BT_0022,2025-08-18T04:00:00,115584.97950999998,trend,2025-08-18T11:00:00,114832.32273,trend,strategy_exit,220.71843883629012,long,-1.76833386719611,-0.8011717899598354,0.3310776582544352,7.0,False,127.51049000002968,944.8395099999761
BT_0023,2025-08-19T18:00:00,113182.67960999999,trend,2025-08-20T04:00:00,113519.83653,chaos,strategy_exit,219.91384692671343,long,0.3252248286066256,0.14788738096833312,0.3298707703900702,10.0,True,517.320390000008,616.6696099999972
BT_0024,2025-08-21T11:00:00,113261.80866,trend,2025-08-21T16:00:00,112267.20042000001,no_trade,strategy_exit,220.0618242237289,long,-2.2625649992445327,-1.0281497062135887,0.3300927363355934,5.0,False,733.3013400000054,928.4786599999934
BT_0025,2025-08-22T20:00:00,117169.70264999998,trend,2025-08-23T02:00:00,115766.24137649998,chaos,stop_loss,219.03235714907342,long,-2.952122923553166,-1.3478021978021957,0.32854853572361015,6.0,False,4.727350000015576,1669.7026499999774
BT_0026,2025-08-23T14:00:00,114736.09146999998,trend,2025-08-24T01:00:00,115358.51601,no_trade,strategy_exit,217.6891412188585,long,0.854394293040831,0.3924836527247113,0.3265337118282878,11.0,True,847.9985300000117,176.09146999998484
BT_0027,2025-08-24T11:00:00,114844.95021999998,trend,2025-08-24T19:00:00,113469.3348822,trend,stop_loss,218.0778906221907,long,-2.939258602726535,-1.3478021978021868,0.32711683593328605,8.0,False,72.14978000002156,4164.950219999984
BT_0028,2025-08-24T20:00:00,112883.16038999999,trend,2025-08-25T03:00:00,112803.92315999999,chaos,strategy_exit,216.74052795794847,long,-0.47724968497279247,-0.22019402161158683,0.3251107919369227,7.0,False,809.8096100000112,724.16038999999
BT_0029,2025-08-27T17:00:00,112457.63528999998,trend,2025-08-27T20:00:00,111110.61526289998,trend,stop_loss,216.52337935128784,long,-2.918306865652233,-1.347802197802191,0.32478506902693177,3.0,False,142.36471000002348,1535.845289999983
BT_0030,2025-08-29T08:00:00,109737.64802,trend,2025-08-29T13:00:00,108997.03386,no_trade,strategy_exit,215.19554972741682,long,-1.7751378405594427,-0.8248952372890463,0.32279332459112525,5.0,False,1779.4219800000137,837.6480199999933
BT_0031,2025-08-30T11:00:00,108788.69000999998,trend,2025-08-30T22:00:00,108422.58888,no_trade,strategy_exit,214.38786200996108,long,-1.0430505277971331,-0.48652499167544755,0.3215817930149416,11.0,False,137.45999000001757,598.1700099999725
BT_0032,2025-09-01T04:00:00,107516.5091,trend,2025-09-01T10:00:00,108462.83859,chaos,strategy_exit,213.91327401981331,long,1.5619334017073099,0.7301713317531846,0.32086991102971996,6.0,True,2395.8908999999985,261.50909999999567
BT_0033,2025-09-02T07:00:00,110344.15391999998,trend,2025-09-02T12:00:00,109022.44921919999,no_trade,stop_loss,214.62395371759078,long,-2.892706365215648,-1.3478021978021921,0.3219359305763862,5.0,False,366.94608000002336,1950.763919999983
BT_0034,2025-09-04T05:00:00,110763.72307,trend,2025-09-04T14:00:00,109732.16799,no_trade,strategy_exit,213.30777232141725,long,-2.3065210665888785,-1.0813113097038758,0.3199616584821259,9.0,False,391.2069300000003,1058.2430699999968
BT_0035,2025-09-08T10:00:00,112160.04799999998,trend,2025-09-08T20:00:00,111846.08196,no_trade,strategy_exit,212.25830523612137,long,-0.912555352219679,-0.42992680602275135,0.31838745785418204,10.0,False,764.3220000000147,405.737999999983
BT_0036,2025-09-09T16:00:00,111086.96599,trend,2025-09-10T01:00:00,110894.63436,chaos,strategy_exit,211.84309255085805,long,-0.6845414873200634,-0.3231360905268708,0.3177646388262871,9.0,False,658.7240100000054,188.68598999999813
